"investigation_rank","sp500_weight_rank","ticker","company","source_platform","israel_search_term","israel_search_url","http_check","scraper_priority","notes"
"1","1","NVDA","NVIDIA","Phenom / company careers","Israel","https://jobs.nvidia.com/careers?location=Israel&domain=nvidia.com&hl=en","200 OK","high","Strong Israel footprint; official search result exposes Israel locations such as Tel Aviv and Yokneam."
"2","2","AAPL","Apple","Apple careers","location=israel-ISR","https://jobs.apple.com/en-us/search?location=israel-ISR","200 OK","high","Stable official location parameter."
"3","3","MSFT","Microsoft","Microsoft careers","lc=Israel","https://jobs.careers.microsoft.com/global/en/search?lc=Israel","200 OK, redirects to apply.careers.microsoft.com","high","Official Israel careers page also exists at https://careers.microsoft.com/v2/global/en/locations/israel.html."
"4","4","AMZN","Amazon","Amazon Jobs","loc_query=Israel","https://www.amazon.jobs/en/search?base_query=&loc_query=Israel","200 OK","high","Stable official search query."
"5","5","AVGO","Broadcom","Workday","q=Israel","https://broadcom.wd1.myworkdayjobs.com/en-US/External_Career?q=Israel","200 OK","high","Workday tenant confirmed; Israel jobs also visible in search snippets."
"6","6","GOOGL/GOOG","Alphabet / Google","Google Careers","location=Israel","https://www.google.com/about/careers/applications/jobs/results?location=Israel","200 OK","high","Official Google careers search currently shows Israel-matched jobs."
"7","8","TSLA","Tesla","Tesla careers","location=Israel","https://www.tesla.com/careers/search/?location=Israel","403 from shell, browser likely required","medium","Official page exposes Israel as a location filter; needs browser/API discovery."
"8","9","META","Meta Platforms","Meta Careers","offices[]=Tel Aviv, Israel","https://www.metacareers.com/jobsearch?offices%5B0%5D=Tel+Aviv%2C+Israel","200 OK","medium","Search route redirects to Meta jobsearch shell; likely GraphQL/backing API."
"9","10","MU","Micron Technology","Eightfold / company careers","query=Israel","https://careers.micron.com/careers?query=Israel","200 OK","medium","Official careers site is searchable; verify whether Israel is active or historical."
"10","14","AMD","Advanced Micro Devices","Eightfold / company careers","keywords=Israel","https://careers.amd.com/careers-home/jobs?keywords=Israel","200 OK","medium","Official search page; likely needs API inspection for clean scraper."
"11","16","ORCL","Oracle","Oracle Cloud Recruiting","location=Israel","https://careers.oracle.com/en/sites/jobsearch#en/sites/jobsearch/requisitions?location=Israel","200 OK","medium","Oracle CX route; likely requires Oracle recruiting API handling."
"12","19","INTC","Intel","Intel careers","Israel","https://jobs.intel.com/en/search-jobs/Israel","403/redirect from shell","high","Intel Israel is a major target, but the site blocks simple shell fetches."
"13","21","CSCO","Cisco Systems","Phenom / company careers","location=Israel","https://careers.cisco.com/global/en/search-results?keywords=&location=Israel","200 OK","medium","Official Cisco search route responds; use location filter."
"14","24","LRCX","Lam Research","Eightfold / company careers","query=Israel","https://careers.lamresearch.com/careers?query=Israel","200 OK","medium","Search route works; exact active Israel filter should be discovered from API payload."
